institution,sector,display_name,market_cap
B1,Bank,Synthetic Bank 1,144.80832405089959
B2,Bank,Synthetic Bank 2,65.66690053135946
B3,Bank,Synthetic Bank 3,173.72733560913724
B4,Bank,Synthetic Bank 4,141.2280168909154
S1,Securities,Synthetic Securities 1,81.68343355454164
S2,Securities,Synthetic Securities 2,164.68141389785697
S3,Securities,Synthetic Securities 3,137.04610648128647
S4,Securities,Synthetic Securities 4,52.1526641040948
I1,Insurance,Synthetic Insurance 1,87.31337084567596
I2,Insurance,Synthetic Insurance 2,127.94645027069068
I3,Insurance,Synthetic Insurance 3,93.7238910606737
I4,Insurance,Synthetic Insurance 4,146.62191198649117
