source,target,selection_probability,median_weight,weight_p10,weight_p90
B1,B2,1.0,0.5622656226077054,0.3218798453331761,0.8730162515350856
S1,S2,1.0,0.28425490637767215,0.11055255421321976,0.6598255507257382
S3,I3,0.975,0.8060334856855248,0.4170308725994896,1.1391309252459991
S2,I2,0.9,0.7723370881757576,0.013112617029878223,1.2117225433505965
S2,S3,0.85,0.3129726964496794,0.0,0.7493974869700815
B2,B3,0.825,0.14612946206812652,0.0,0.4304270309195346
I1,S1,0.75,0.24012024173828944,0.0,0.6152582997041818
B3,S3,0.725,0.13397977524296334,0.0,0.5294557918585916
S1,I4,0.7,0.11310855811076426,0.0,0.4985155453723466
B2,S2,0.675,0.11304955061405166,0.0,0.4998166748390086
S4,S2,0.65,0.12200875824944377,0.0,0.49726085338907344
I1,B1,0.625,0.07642567729066614,0.0,0.4806661648994634
S4,I1,0.575,0.12523729060750022,0.0,0.6131721059753453
I2,I1,0.55,0.0732077877993223,0.0,0.21248026113516122
I3,B2,0.525,0.029006191988804695,0.0,0.4053800570663735
B2,I3,0.525,0.024833919514065553,0.0,0.19671716911494347
B2,B1,0.475,0.0,0.0,0.3123407242477377
S2,S1,0.475,0.0,0.0,0.5864100474546887
S4,I4,0.475,0.0,0.0,0.27911488026267306
I3,S4,0.475,0.0,0.0,0.720369534926871
I4,S4,0.475,0.0,0.0,0.2600752551616304
I4,I1,0.475,0.0,0.0,0.1167136055825137
I3,I2,0.45,0.0,0.0,0.32462581228745696
I4,B1,0.45,0.0,0.0,0.16971617070520528
B1,I4,0.425,0.0,0.0,0.3009830027118798
S4,B3,0.425,0.0,0.0,0.41346397780826727
I1,B2,0.425,0.0,0.0,0.280443341113716
I1,B3,0.425,0.0,0.0,0.34264669032928147
I1,B4,0.425,0.0,0.0,0.22839471060532301
I2,S2,0.425,0.0,0.0,0.5068265142168203
B4,S4,0.4,0.0,0.0,0.26825190850623576
S2,I4,0.4,0.0,0.0,0.15974417716219927
I1,I4,0.4,0.0,0.0,0.14430435718026396
I3,B3,0.4,0.0,0.0,0.302416408461859
S4,I2,0.375,0.0,0.0,0.179622113464447
I3,I1,0.375,0.0,0.0,0.34552130174821977
S1,B4,0.35,0.0,0.0,0.25180858605033873
S1,I1,0.35,0.0,0.0,0.17575554836969579
S4,S1,0.35,0.0,0.0,0.2579095472892592
I2,I3,0.35,0.0,0.0,0.19961226582419414
B1,B3,0.325,0.0,0.0,0.25821776250521455
B4,B3,0.325,0.0,0.0,0.24065828254499802
B4,I2,0.325,0.0,0.0,0.3024043577910929
B4,I4,0.325,0.0,0.0,0.31646301885342976
I3,S2,0.325,0.0,0.0,0.1643627170885071
I4,B3,0.325,0.0,0.0,0.25904998765919895
I4,B4,0.325,0.0,0.0,0.1591038132254467
I4,I2,0.325,0.0,0.0,0.16069293177172747
B1,B4,0.3,0.0,0.0,0.08526901511378054
B3,B1,0.3,0.0,0.0,0.2836758075629253
I1,I2,0.3,0.0,0.0,0.18397270149485048
I3,B1,0.3,0.0,0.0,0.2285185828117818
B1,S2,0.275,0.0,0.0,0.27593902573259266
B3,I2,0.275,0.0,0.0,0.15847335596712087
I4,S2,0.275,0.0,0.0,0.1587193578450231
B2,S1,0.25,0.0,0.0,0.10816658085391186
S1,B1,0.25,0.0,0.0,0.0578568591508968
S4,B4,0.25,0.0,0.0,0.10888656087568582
I4,S1,0.25,0.0,0.0,0.22484846564656175
I4,B2,0.225,0.0,0.0,0.20470724231605258
B2,S4,0.2,0.0,0.0,0.1045172128172686
B2,I1,0.2,0.0,0.0,0.17762480467118336
S3,B2,0.2,0.0,0.0,0.06326095562171367
S4,B2,0.2,0.0,0.0,0.17525341625363475
B1,I1,0.175,0.0,0.0,0.08013820055670817
B1,I2,0.175,0.0,0.0,0.035357998299439294
B2,I2,0.175,0.0,0.0,0.042387765168719754
B3,B2,0.175,0.0,0.0,0.09286303183577851
B3,I1,0.175,0.0,0.0,0.1888748143173606
B4,I1,0.175,0.0,0.0,0.13857361780925104
B4,I3,0.175,0.0,0.0,0.14479936957081993
S3,B1,0.175,0.0,0.0,0.12198717683524635
I2,S3,0.175,0.0,0.0,0.11023725089413405
I3,S3,0.175,0.0,0.0,0.14140297585128736
B1,S1,0.15,0.0,0.0,0.04948835155933463
B3,S4,0.15,0.0,0.0,0.04766560875075444
B4,B2,0.15,0.0,0.0,0.12812496461367348
S1,S4,0.15,0.0,0.0,0.053471456117811
S3,B3,0.15,0.0,0.0,0.08205923839454878
S3,S4,0.15,0.0,0.0,0.10202576844041769
S3,I4,0.15,0.0,0.0,0.022933794535199014
S4,I3,0.15,0.0,0.0,0.05797234120382909
I3,B4,0.15,0.0,0.0,0.06407299335065553
B3,B4,0.125,0.0,0.0,0.019187388824037997
B4,S3,0.125,0.0,0.0,0.03585175325933483
S1,B2,0.125,0.0,0.0,0.022233777231812347
S2,I3,0.1,0.0,0.0,0.010941277636694625
S3,B4,0.1,0.0,0.0,0.00034979943447091587
S4,B1,0.1,0.0,0.0,0.00951689212173976
I1,S3,0.1,0.0,0.0,0.011275198115883399
I2,B4,0.1,0.0,0.0,0.008294636860705928
I3,S1,0.1,0.0,0.0,0.00439493125115719
B1,S4,0.075,0.0,0.0,0.0
B4,S2,0.075,0.0,0.0,0.0
S1,I3,0.075,0.0,0.0,0.0
S2,B1,0.075,0.0,0.0,0.0
S2,S4,0.075,0.0,0.0,0.0
S3,S1,0.075,0.0,0.0,0.0
I1,S4,0.075,0.0,0.0,0.0
I2,B1,0.075,0.0,0.0,0.0
I2,B2,0.075,0.0,0.0,0.0
I2,S4,0.075,0.0,0.0,0.0
S1,B3,0.05,0.0,0.0,0.0
S1,I2,0.05,0.0,0.0,0.0
S2,I1,0.05,0.0,0.0,0.0
I1,S2,0.05,0.0,0.0,0.0
I2,I4,0.05,0.0,0.0,0.0
I4,S3,0.05,0.0,0.0,0.0
B1,S3,0.025,0.0,0.0,0.0
B1,I3,0.025,0.0,0.0,0.0
B2,B4,0.025,0.0,0.0,0.0
B2,S3,0.025,0.0,0.0,0.0
B2,I4,0.025,0.0,0.0,0.0
B3,S1,0.025,0.0,0.0,0.0
B3,S2,0.025,0.0,0.0,0.0
B3,I3,0.025,0.0,0.0,0.0
B3,I4,0.025,0.0,0.0,0.0
B4,B1,0.025,0.0,0.0,0.0
B4,S1,0.025,0.0,0.0,0.0
S2,B2,0.025,0.0,0.0,0.0
S3,S2,0.025,0.0,0.0,0.0
I2,B3,0.025,0.0,0.0,0.0
I3,I4,0.025,0.0,0.0,0.0
I4,I3,0.025,0.0,0.0,0.0
S1,S3,0.0,0.0,0.0,0.0
S2,B3,0.0,0.0,0.0,0.0
S2,B4,0.0,0.0,0.0,0.0
S3,I1,0.0,0.0,0.0,0.0
S3,I2,0.0,0.0,0.0,0.0
S4,S3,0.0,0.0,0.0,0.0
I1,I3,0.0,0.0,0.0,0.0
I2,S1,0.0,0.0,0.0,0.0
