source,B1,B2,B3,B4,S1,S2,S3,S4,I1,I2,I3,I4
B1,0.0,0.6694731090709615,0.07251811716047972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063865740518017
B2,0.12211114196690517,0.0,0.29503985087654766,0.0,0.0,0.4105421088412471,0.0,0.0,0.0,0.0,0.0,0.0
B3,0.0,0.092987751364767,0.0,0.0,0.0,0.0,0.042860737557987375,0.0,0.0,0.0003761221504150821,0.0,0.0
B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,0.0,0.0,0.0,0.043466900810462464,0.0,0.42159875124141794,0.0,0.0,0.0,0.0,0.0,0.31879627504845715
S2,0.0,0.0,0.0,0.0,0.0,0.0,0.48134113253345656,0.0,0.0,0.6416465734327385,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170860989732478,0.0
S4,0.0,0.0,0.0664539268090947,0.0,0.0,0.29219436620453604,0.0,0.0,0.4406750430207255,0.16716990013482977,0.0,0.15496638151954886
I1,0.3597201997713067,0.0596635349088401,0.2965526200416197,0.0,0.3809873997024565,0.0,0.0,0.0,0.0,0.0,0.0,0.02335639100955103
I2,0.0,0.0,0.0,0.0,0.0,0.6387906152787489,0.0,0.0,0.11581495209139368,0.0,0.0,0.0
I3,0.0,0.34949648264631444,0.0,0.0,0.0,0.0,0.0,0.12895159716817567,0.014171581271961555,0.0,0.0,0.0
I4,0.06472178175469986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270463842242152,0.019964055253269188,0.0,0.0
