source,B1,B2,B3,B4,S1,S2,S3,S4,I1,I2,I3,I4
B1,0.0,0.6694731090709615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,0.0,0.0,0.29503985087654766,0.0,0.0,0.4105421088412471,0.0,0.0,0.0,0.0,0.0,0.0
B3,0.0,0.0,0.0,0.0,0.0,0.0,0.042860737557987375,0.0,0.0,0.0,0.0,0.0
B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,0.0,0.0,0.0,0.0,0.0,0.42159875124141794,0.0,0.0,0.0,0.0,0.0,0.31879627504845715
S2,0.0,0.0,0.0,0.0,0.0,0.0,0.48134113253345656,0.0,0.0,0.6416465734327385,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170860989732478,0.0
S4,0.0,0.0,0.0,0.0,0.0,0.29219436620453604,0.0,0.0,0.0,0.0,0.0,0.0
I1,0.0,0.0,0.0,0.0,0.3809873997024565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
