source,B1,B2,B3,B4,S1,S2,S3,S4,I1,I2,I3,I4
B1,0.0,-0.6694731090709615,-0.07251811716047972,-0.0,-0.0,-0.0,0.18076817653283936,0.014446252275763814,-0.0,0.1301455110473816,0.16675958656795795,-0.1063865740518017
B2,-0.12211114196690517,0.0,-0.29503985087654766,-0.0,-0.0,-0.4105421088412471,0.027002335200452976,-0.0,-0.0,-0.0,-0.0,0.05276473668469281
B3,-0.0,-0.092987751364767,0.0,-0.0,0.07780440775028755,-0.0,-0.042860737557987375,0.3264168896203086,-0.0,-0.0003761221504150821,0.33667819271939586,0.0801489555986865
B4,-0.0,-0.0,0.14406865859126675,0.0,-0.0,0.016563108677149125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
S1,-0.0,0.1503371865286447,-0.0,-0.043466900810462464,0.0,-0.42159875124141794,0.2967601146641464,-0.0,-0.0,0.15288844524782838,0.41368485050256854,-0.31879627504845715
S2,-0.0,0.24333139486370317,0.8627531243489815,0.368880850919211,-0.0,0.0,-0.48134113253345656,0.1864609849243968,-0.0,-0.6416465734327385,0.06589067271839097,-0.0
S3,0.09650241328195995,0.006742270573715699,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.27355643390564893,0.9772030080765276,-0.7170860989732478,-0.0
S4,-0.0,-0.0,-0.0664539268090947,-0.0,-0.0,-0.29219436620453604,0.3001015142301485,0.0,-0.4406750430207255,-0.16716990013482977,-0.0,-0.15496638151954886
I1,-0.3597201997713067,-0.0596635349088401,-0.2965526200416197,-0.0,-0.3809873997024565,-0.0,-0.0,-0.0,0.0,-0.0,0.22864014826390583,-0.02335639100955103
I2,0.3635766907976963,-0.0,0.33222841498686567,-0.0,0.6378197184804548,-0.6387906152787489,-0.0,-0.0,-0.11581495209139368,0.0,-0.0,-0.0
I3,-0.0,-0.34949648264631444,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12895159716817567,-0.014171581271961555,-0.0,0.0,-0.0
I4,-0.06472178175469986,-0.0,-0.0,-0.0,-0.0,-0.0,0.02047747622405124,-0.0,-0.1270463842242152,-0.019964055253269188,0.020097707596073124,0.0
