institution,sector,display_name,out_strength,in_strength,net_transmitter,out_degree,in_degree,market_cap_share,size_weighted_emitter,size_weighted_receiver
S2,Securities,Synthetic Securities 2,1.122987705966195,1.124335226287201,-0.001347520321006046,2,3,0.11625118940163119,0.012150518216850183,0.006288969893917951
S1,Securities,Synthetic Securities 1,0.7403950262898751,0.3809873997024565,0.3594076265874186,2,1,0.0576616151171395,0.004728692560379068,0.0013540384236009348
S3,Securities,Synthetic Securities 3,0.7170860989732478,0.5242018700914439,0.1928842288818039,1,2,0.09674299305684715,0.00458980200842182,0.005921908023465306
B2,Bank,Synthetic Bank 2,0.7055819597177948,0.6694731090709615,0.036108850646833335,2,1,0.046355293596301125,0.0038896154632059965,0.0031723333619114854
B1,Bank,Synthetic Bank 1,0.6694731090709615,0.0,0.6694731090709615,1,0,0.10222246401536987,0.003172333361911486,0.0
I1,Insurance,Synthetic Insurance 1,0.3809873997024565,0.0,0.3809873997024565,1,0,0.06163587603013425,0.0013540384236009346,0.0
S4,Securities,Synthetic Securities 4,0.29219436620453604,0.0,0.29219436620453604,1,0,0.03681538243487034,0.0012505427976294212,0.0
B3,Bank,Synthetic Bank 3,0.042860737557987375,0.29503985087654766,-0.2521791133185603,1,1,0.12263684721983903,0.0005085107481256593,0.0016772623292224495
B4,Bank,Synthetic Bank 4,0.0,0.0,0.0,0,0,0.09969506911439156,0.0,0.0
I2,Insurance,Synthetic Insurance 2,0.0,0.6416465734327385,-0.6416465734327385,0,1,0.09031940321395313,0.0,0.006737120941510535
I3,Insurance,Synthetic Insurance 3,0.0,0.7170860989732478,-0.7170860989732478,0,1,0.06616116265500445,0.0,0.004589802008421819
I4,Insurance,Synthetic Insurance 4,0.0,0.31879627504845715,-0.31879627504845715,0,1,0.10350270414451848,0.0,0.001902618598074084
